project,file,function,start_line,end_line,nloc,cyclomatic,params
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::valueToString,31,45,15,3,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::valueToString,47,53,7,1,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::valueToString,57,57,1,1,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::valueToString,59,59,1,1,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::valueToString,64,108,34,13,4
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::valueToString,111,114,4,1,3
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::valueToString,116,116,1,2,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::doesAnyCharRequireEscaping,118,124,6,5,2
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::utf8ToCodepoint,126,175,36,13,2
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::toHex16Bit,194,203,10,1,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::appendRaw,205,207,3,1,2
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::appendHex,209,211,3,1,2
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::valueToQuotedStringN,213,288,62,16,3
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::valueToQuotedString,290,292,3,1,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::valueToQuotedString,294,296,3,1,2
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::FastWriter::enableYAMLCompatibility,309,309,1,1,0
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::FastWriter::dropNullPlaceholders,311,311,1,1,0
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::FastWriter::omitEndingLineFeed,313,313,1,1,0
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::FastWriter::write,315,321,7,2,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::FastWriter::writeValue,323,374,51,16,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledWriter::write,381,390,10,1,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledWriter::writeValue,392,450,58,13,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledWriter::writeArrayValue,452,493,42,8,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledWriter::isMultilineArray,495,520,26,9,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledWriter::pushValue,522,527,6,2,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledWriter::writeIndent,529,538,10,4,0
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledWriter::writeWithIndent,540,543,4,1,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledWriter::indent,545,545,1,1,0
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledWriter::unindent,547,550,4,1,0
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledWriter::writeCommentBeforeValue,552,569,15,6,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledWriter::writeCommentAfterValueOnSameLine,571,580,9,3,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledWriter::hasCommentForValue,582,586,5,3,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledStreamWriter::StyledStreamWriter,591,593,3,1,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledStreamWriter::write,595,608,14,2,2
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledStreamWriter::writeValue,610,668,58,13,1
Json CPP,jsoncpp/src/lib_json/json_writer.cpp,Json::StyledStreamWriter::writeArrayValue,670,714,45,9,1
