project,file,function,start_line,end_line,nloc,cyclomatic,params
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodStrategyBase::DistanceLodStrategyBase,36,40,5,1,1
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodStrategyBase::getValueImpl,42,73,15,3,2
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodStrategyBase::getBaseValue,75,78,4,1,0
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodStrategyBase::transformBias,80,84,5,2,1
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodStrategyBase::transformUserValue,86,90,4,1,1
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodStrategyBase::getIndex,92,96,4,1,2
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodStrategyBase::getIndex,98,102,4,1,2
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodStrategyBase::isSorted,104,108,4,1,1
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodStrategyBase::sort,110,114,4,1,1
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodStrategyBase::setReferenceView,116,129,7,1,3
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodStrategyBase::setReferenceViewEnabled,131,138,6,3,1
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodStrategyBase::isReferenceViewEnabled,140,143,4,1,0
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodSphereStrategy::getSingletonPtr,151,154,4,1,0
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodSphereStrategy::getSingleton,155,158,4,1,0
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodSphereStrategy::DistanceLodSphereStrategy,160,162,3,1,0
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodSphereStrategy::getSquaredDepth,164,173,4,1,2
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodBoxStrategy::getSingletonPtr,182,185,4,1,0
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodBoxStrategy::getSingleton,186,189,4,1,0
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodBoxStrategy::DistanceLodBoxStrategy,191,193,3,1,0
OGRE,ogre/OgreMain/src/OgreDistanceLodStrategy.cpp,Ogre::DistanceLodBoxStrategy::getSquaredDepth,195,198,4,1,2
OGRE,ogre/OgreMain/src/OgreWireBoundingBox.cpp,Ogre::WireBoundingBox::WireBoundingBox,34,38,5,1,0
OGRE,ogre/OgreMain/src/OgreWireBoundingBox.cpp,Ogre::WireBoundingBox::WireBoundingBox,40,44,5,1,1
OGRE,ogre/OgreMain/src/OgreWireBoundingBox.cpp,Ogre::WireBoundingBox::_initWireBoundingBox,46,74,20,1,0
OGRE,ogre/OgreMain/src/OgreWireBoundingBox.cpp,Ogre::WireBoundingBox::~WireBoundingBox,76,79,4,1,0
OGRE,ogre/OgreMain/src/OgreWireBoundingBox.cpp,Ogre::WireBoundingBox::setupBoundingBox,81,89,5,1,1
OGRE,ogre/OgreMain/src/OgreWireBoundingBox.cpp,Ogre::WireBoundingBox::getWorldTransforms,92,96,4,1,1
OGRE,ogre/OgreMain/src/OgreWireBoundingBox.cpp,Ogre::WireBoundingBox::setupBoundingBoxVertices,98,208,88,1,1
OGRE,ogre/OgreMain/src/OgreWireBoundingBox.cpp,Ogre::WireBoundingBox::getSquaredViewDepth,211,214,4,1,1
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultIntersectionSceneQuery::DefaultIntersectionSceneQuery,32,35,4,1,1
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultIntersectionSceneQuery::~DefaultIntersectionSceneQuery,37,39,3,1,0
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultIntersectionSceneQuery::execute,41,111,52,18,1
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultAxisAlignedBoxSceneQuery::DefaultAxisAlignedBoxSceneQuery,113,117,5,1,1
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultAxisAlignedBoxSceneQuery::~DefaultAxisAlignedBoxSceneQuery,119,121,3,1,0
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultAxisAlignedBoxSceneQuery::execute,123,142,17,8,1
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultRaySceneQuery::DefaultRaySceneQuery,144,147,4,1,1
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultRaySceneQuery::~DefaultRaySceneQuery,149,151,3,1,0
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultRaySceneQuery::execute,153,184,20,8,1
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultSphereSceneQuery::DefaultSphereSceneQuery,186,189,4,1,1
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultSphereSceneQuery::~DefaultSphereSceneQuery,191,193,3,1,0
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultSphereSceneQuery::execute,195,217,18,8,1
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultPlaneBoundedVolumeListSceneQuery::DefaultPlaneBoundedVolumeListSceneQuery,219,223,5,1,1
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultPlaneBoundedVolumeListSceneQuery::~DefaultPlaneBoundedVolumeListSceneQuery,225,227,3,1,0
OGRE,ogre/OgreMain/src/OgreDefaultSceneQueries.cpp,Ogre::DefaultPlaneBoundedVolumeListSceneQuery::execute,229,253,21,9,1
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::trim,41,71,8,3,3
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::split,74,132,42,9,4
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::tokenise,134,200,53,12,4
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::toLowerCase,202,209,8,1,1
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::toUpperCase,212,219,8,1,1
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::toTitleCase,221,232,12,3,1
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::startsWith,234,245,10,3,3
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::endsWith,247,260,11,3,3
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::standardisePath,262,271,8,2,1
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::normalizeFilePath,273,356,67,22,2
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::splitFilename,358,378,17,2,3
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::splitBaseFilename,380,394,15,2,3
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::splitFullFilename,396,402,7,1,4
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::match,404,471,58,14,3
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::replaceAll,473,485,13,3,3
OGRE,ogre/OgreMain/src/OgreString.cpp,Ogre::StringUtil::format,487,513,24,3,1
OGRE,ogre/OgreMain/src/OgreHighLevelGpuProgram.cpp,Ogre::CmdPreprocessorDefines::doGet,39,42,4,1,1
OGRE,ogre/OgreMain/src/OgreHighLevelGpuProgram.cpp,Ogre::CmdPreprocessorDefines::doSet,43,46,4,1,2
OGRE,ogre/OgreMain/src/OgreHighLevelGpuProgram.cpp,Ogre::CmdEntryPoint::doGet,54,57,4,1,1
OGRE,ogre/OgreMain/src/OgreHighLevelGpuProgram.cpp,Ogre::CmdEntryPoint::doSet,58,58,1,1,2
OGRE,ogre/OgreMain/src/OgreHighLevelGpuProgram.cpp,Ogre::HighLevelGpuProgram::setupBaseParamDictionary,62,69,7,1,0
OGRE,ogre/OgreMain/src/OgreHighLevelGpuProgram.cpp,Ogre::HighLevelGpuProgram::HighLevelGpuProgram,72,78,7,1,6
OGRE,ogre/OgreMain/src/OgreHighLevelGpuProgram.cpp,Ogre::HighLevelGpuProgram::loadImpl,80,96,12,3,0
OGRE,ogre/OgreMain/src/OgreHighLevelGpuProgram.cpp,Ogre::HighLevelGpuProgram::unloadImpl,98,108,10,2,0
OGRE,ogre/OgreMain/src/OgreHighLevelGpuProgram.cpp,Ogre::HighLevelGpuProgram::~HighLevelGpuProgram,110,113,3,1,0
OGRE,ogre/OgreMain/src/OgreHighLevelGpuProgram.cpp,Ogre::HighLevelGpuProgram::createParameters,115,138,17,4,0
OGRE,ogre/OgreMain/src/OgreHighLevelGpuProgram.cpp,Ogre::HighLevelGpuProgram::calculateSize,139,146,7,2,0
OGRE,ogre/OgreMain/src/OgreHighLevelGpuProgram.cpp,Ogre::HighLevelGpuProgram::parseDefines,148,207,47,8,1
