project,file,function,start_line,end_line,nloc,cyclomatic,params
Sqlite,sqlite/src/json.c,jsonCacheDelete,416,422,7,2,1
Sqlite,sqlite/src/json.c,jsonCacheDeleteGeneric,423,425,3,1,1
Sqlite,sqlite/src/json.c,jsonCacheInsert,434,465,31,5,2
Sqlite,sqlite/src/json.c,jsonCacheSearch,478,520,40,12,2
Sqlite,sqlite/src/json.c,jsonStringZero,529,534,6,1,1
Sqlite,sqlite/src/json.c,jsonStringInit,538,542,5,1,2
Sqlite,sqlite/src/json.c,jsonStringReset,547,550,4,2,1
Sqlite,sqlite/src/json.c,jsonStringOom,554,558,5,2,1
Sqlite,sqlite/src/json.c,jsonStringGrow,563,586,24,6,2
Sqlite,sqlite/src/json.c,jsonStringExpandAndAppend,590,599,10,2,3
Sqlite,sqlite/src/json.c,jsonAppendRaw,600,608,9,3,3
Sqlite,sqlite/src/json.c,jsonAppendRawNZ,609,617,9,2,3
Sqlite,sqlite/src/json.c,jsonPrintf,621,628,8,3,3
Sqlite,sqlite/src/json.c,jsonAppendCharExpand,632,635,4,2,2
Sqlite,sqlite/src/json.c,jsonAppendChar,636,642,7,2,2
Sqlite,sqlite/src/json.c,jsonStringTrimOneChar,646,651,6,2,1
Sqlite,sqlite/src/json.c,jsonStringTerminate,659,663,5,1,1
Sqlite,sqlite/src/json.c,jsonAppendSeparator,668,674,7,4,1
Sqlite,sqlite/src/json.c,jsonAppendControlChar,682,708,27,3,2
Sqlite,sqlite/src/json.c,jsonAppendString,718,783,62,23,3
Sqlite,sqlite/src/json.c,jsonAppendSqlValue,789,831,43,8,2
Sqlite,sqlite/src/json.c,jsonReturnString,842,881,40,12,3
Sqlite,sqlite/src/json.c,jsonParseReset,891,905,15,3,1
Sqlite,sqlite/src/json.c,jsonParseFree,911,920,10,3,1
Sqlite,sqlite/src/json.c,jsonHexToInt,932,940,5,3,1
Sqlite,sqlite/src/json.c,jsonHexToInt4,945,952,8,1,1
Sqlite,sqlite/src/json.c,jsonIs2Hex,957,959,3,2,1
Sqlite,sqlite/src/json.c,jsonIs4Hex,964,966,3,2,1
Sqlite,sqlite/src/json.c,json5Whitespace,1004,1093,90,43,1
Sqlite,sqlite/src/json.c,jsonWrongNumArgs,1119,1127,9,1,2
Sqlite,sqlite/src/json.c,jsonBlobExpand,1138,1154,17,4,2
Sqlite,sqlite/src/json.c,jsonBlobMakeEditable,1164,1179,16,4,2
Sqlite,sqlite/src/json.c,jsonBlobExpandAndAppendOneByte,1183,1192,10,2,2
Sqlite,sqlite/src/json.c,jsonBlobAppendOneByte,1196,1202,7,2,2
Sqlite,sqlite/src/json.c,jsonBlobExpandAndAppendNode,1208,1216,9,2,4
Sqlite,sqlite/src/json.c,jsonBlobAppendNode,1228,1265,38,6,4
Sqlite,sqlite/src/json.c,jsonBlobChangePayloadSize,1269,1333,65,16,3
Sqlite,sqlite/src/json.c,jsonIs4HexB,1340,1345,6,3,2
Sqlite,sqlite/src/json.c,jsonbValidityCheck,1357,1548,191,88,4
Sqlite,sqlite/src/json.c,jsonTranslateTextToBlob,1566,2029,448,172,2
Sqlite,sqlite/src/json.c,jsonConvertTextToBlob,2040,2078,37,12,2
Sqlite,sqlite/src/json.c,jsonReturnStringAsBlob,2085,2105,21,3,1
Sqlite,sqlite/src/json.c,jsonbPayloadSize,2112,2165,54,15,3
Sqlite,sqlite/src/json.c,jsonTranslateBlobToText,2181,2395,210,67,3
Sqlite,sqlite/src/json.c,jsonPrettyIndent,2409,2414,6,2,1
Sqlite,sqlite/src/json.c,jsonTranslateBlobToPrettyText,2433,2500,68,11,2
Sqlite,sqlite/src/json.c,jsonbArrayCount,2506,2515,10,3,2
Sqlite,sqlite/src/json.c,jsonAfterEditSizeAdjust,2521,2532,12,1,2
Sqlite,sqlite/src/json.c,jsonBlobOverwrite,2550,2608,53,15,4
Sqlite,sqlite/src/json.c,jsonBlobEdit,2623,2650,28,10,5
Sqlite,sqlite/src/json.c,jsonBytesToBypass,2662,2689,28,12,2
Sqlite,sqlite/src/json.c,jsonUnescapeOneChar,2700,2783,74,30,3
Sqlite,sqlite/src/json.c,jsonLabelCompareEscaped,2793,2843,51,13,6
Sqlite,sqlite/src/json.c,jsonLabelCompare,2849,2866,16,4,6
Sqlite,sqlite/src/json.c,jsonCreateEditSubstructure,2899,2924,24,2,3
Sqlite,sqlite/src/json.c,jsonLookupStep,2943,3127,182,60,4
Sqlite,sqlite/src/json.c,jsonReturnTextJsonFromBlob,3133,3148,15,2,3
Sqlite,sqlite/src/json.c,jsonReturnFromBlob,3166,3334,158,44,4
Sqlite,sqlite/src/json.c,jsonFunctionArgToBlob,3353,3425,73,16,3
Sqlite,sqlite/src/json.c,jsonBadPathError,3433,3446,14,3,2
Sqlite,sqlite/src/json.c,jsonInsertIntoBlob,3456,3515,58,14,4
Sqlite,sqlite/src/json.c,jsonArgIsJsonb,3545,3566,22,12,2
Sqlite,sqlite/src/json.c,jsonParseFuncArg,3584,3694,96,21,3
Sqlite,sqlite/src/json.c,jsonReturnParse,3701,3726,26,5,2
Sqlite,sqlite/src/json.c,jsonDebugPrintBlob,3738,3825,88,32,5
Sqlite,sqlite/src/json.c,jsonShowParse,3826,3843,18,3,1
Sqlite,sqlite/src/json.c,jsonParseFunc,3853,3873,20,3,3
Sqlite,sqlite/src/json.c,jsonQuoteFunc,3886,3898,12,1,3
Sqlite,sqlite/src/json.c,jsonArrayFunc,3905,3922,17,2,3
Sqlite,sqlite/src/json.c,jsonArrayLengthFunc,3931,3969,37,10,3
Sqlite,sqlite/src/json.c,jsonAllAlphanum,3972,3976,5,4,2
Sqlite,sqlite/src/json.c,jsonExtractFunc,3998,4109,97,24,3
Sqlite,sqlite/src/json.c,jsonMergePatch,4165,4307,134,36,4
Sqlite,sqlite/src/json.c,jsonPatchFunc,4315,4341,26,5,3
