project,file,function,start_line,end_line,nloc,cyclomatic,params
tmux,tmux/cmd-lock-server.c,cmd_lock_server_exec,65,79,13,3,2
tmux,tmux/names.c,name_time_callback,34,40,5,1,3
tmux,tmux/names.c,name_time_expired,43,51,8,3,2
tmux,tmux/names.c,check_window_name,54,105,45,9,1
tmux,tmux/names.c,default_window_name,108,121,13,4,1
tmux,tmux/names.c,format_window_name,124,139,13,1,1
tmux,tmux/names.c,parse_window_name,142,172,26,11,1
tmux,tmux/osdep-hpux.c,osdep_get_name,24,27,4,1,2
tmux,tmux/osdep-hpux.c,osdep_get_cwd,30,33,4,1,1
tmux,tmux/osdep-hpux.c,osdep_event_init,36,39,4,1,0
tmux,tmux/log.c,log_event_cb,34,37,4,1,2
tmux,tmux/log.c,log_add_level,41,44,4,1,0
tmux,tmux/log.c,log_get_level,48,51,4,1,0
tmux,tmux/log.c,log_open,55,71,14,3,1
tmux,tmux/log.c,log_toggle,75,86,12,2,1
tmux,tmux/log.c,log_close,90,97,7,2,0
tmux,tmux/log.c,log_vwrite,101,122,19,5,3
tmux,tmux/log.c,log_debug,126,136,9,2,1
tmux,tmux/log.c,fatal,140,153,11,2,1
tmux,tmux/log.c,fatalx,157,166,8,1,1
tmux,tmux/key-string.c,key_string_search_table,196,209,11,5,1
tmux,tmux/key-string.c,key_string_get_modifiers,213,239,26,9,1
tmux,tmux/key-string.c,key_string_lookup_string,243,323,66,28,1
tmux,tmux/key-string.c,key_string_lookup_key,327,477,131,38,2
tmux,tmux/cmd-list-clients.c,cmd_list_clients_exec,54,102,41,8,2
tmux,tmux/session.c,session_cmp,41,44,4,1,2
tmux,tmux/session.c,session_group_cmp,48,51,4,1,2
tmux,tmux/session.c,session_alive,59,68,9,2,1
tmux,tmux/session.c,session_find,72,78,6,1,1
tmux,tmux/session.c,session_find_by_id_str,82,94,11,3,1
tmux,tmux/session.c,session_find_by_id,98,107,9,2,1
tmux,tmux/session.c,session_create,111,158,38,6,6
tmux,tmux/session.c,session_add_ref,162,166,5,1,2
tmux,tmux/session.c,session_remove_ref,170,177,7,2,2
tmux,tmux/session.c,session_free,181,194,11,2,3
tmux,tmux/session.c,session_destroy,198,230,24,6,3
tmux,tmux/session.c,session_check_name,234,248,14,5,1
tmux,tmux/session.c,session_lock_timer,252,264,10,2,3
tmux,tmux/session.c,session_update_activity,268,292,21,5,2
tmux,tmux/session.c,session_next_session,296,309,12,5,1
tmux,tmux/session.c,session_previous_session,313,326,12,5,1
tmux,tmux/session.c,session_attach,330,344,13,2,4
tmux,tmux/session.c,session_detach,348,365,15,5,2
tmux,tmux/session.c,session_has,369,378,9,2,2
tmux,tmux/session.c,session_is_linked,385,392,7,2,2
tmux,tmux/session.c,session_next_alert,395,403,9,3,1
tmux,tmux/session.c,session_next,407,423,15,5,2
tmux,tmux/session.c,session_previous_alert,426,434,9,3,1
tmux,tmux/session.c,session_previous,438,454,15,5,2
tmux,tmux/session.c,session_select,458,464,6,1,2
tmux,tmux/session.c,session_last,468,479,10,3,1
tmux,tmux/session.c,session_set_current,483,505,21,5,2
tmux,tmux/session.c,session_group_contains,509,521,12,2,1
tmux,tmux/session.c,session_group_find,525,531,6,1,1
tmux,tmux/session.c,session_group_new,535,548,11,2,1
tmux,tmux/session.c,session_group_add,552,556,5,2,2
tmux,tmux/session.c,session_group_remove,560,572,12,3,1
tmux,tmux/session.c,session_group_count,576,585,9,1,1
tmux,tmux/session.c,session_group_attached_count,589,598,9,1,1
tmux,tmux/session.c,session_group_synchronize_to,602,617,14,4,1
tmux,tmux/session.c,session_group_synchronize_from,621,633,11,3,1
tmux,tmux/session.c,session_group_synchronize1,641,696,42,10,2
tmux,tmux/session.c,session_renumber_windows,700,753,40,6,1
tmux,tmux/session.c,session_theme_changed,757,768,11,2,1
tmux,tmux/layout.c,layout_create_cell,51,70,14,1,1
tmux,tmux/layout.c,layout_free_cell,73,93,19,6,1
tmux,tmux/layout.c,layout_print_cell,96,127,31,7,3
tmux,tmux/layout.c,layout_search_by_border,130,163,28,13,3
tmux,tmux/layout.c,layout_set_size,166,174,8,1,5
tmux,tmux/layout.c,layout_make_leaf,177,185,7,1,2
tmux,tmux/layout.c,layout_make_node,188,199,10,3,2
tmux,tmux/layout.c,layout_fix_offsets1,203,227,24,4,1
tmux,tmux/layout.c,layout_fix_offsets,231,239,7,1,1
tmux,tmux/layout.c,layout_cell_is_top,243,255,12,4,2
tmux,tmux/layout.c,layout_cell_is_bottom,259,271,12,4,2
tmux,tmux/layout.c,layout_add_horizontal_border,278,286,9,3,3
tmux,tmux/layout.c,layout_fix_panes,290,342,47,11,2
tmux,tmux/layout.c,layout_count_cells,346,363,17,4,1
tmux,tmux/layout.c,layout_resize_check,367,415,43,8,3
tmux,tmux/layout.c,layout_resize_adjust,422,463,31,8,4
tmux,tmux/layout.c,layout_destroy_cell,467,514,32,8,3
tmux,tmux/layout.c,layout_init,517,525,8,1,2
tmux,tmux/layout.c,layout_free,528,531,4,1,1
tmux,tmux/layout.c,layout_resize,535,583,31,11,3
tmux,tmux/layout.c,layout_resize_pane_to,587,616,23,6,3
tmux,tmux/layout.c,layout_resize_layout,619,644,21,4,5
tmux,tmux/layout.c,layout_resize_pane,648,669,16,5,4
tmux,tmux/layout.c,layout_resize_pane_grow,673,710,30,9,5
tmux,tmux/layout.c,layout_resize_pane_shrink,714,742,23,6,4
tmux,tmux/layout.c,layout_assign_pane,746,754,9,2,3
tmux,tmux/layout.c,layout_new_pane_size,758,792,24,7,7
tmux,tmux/layout.c,layout_set_size_check,796,849,45,11,4
tmux,tmux/layout.c,layout_resize_child_cells,853,901,42,8,2
tmux,tmux/layout.c,layout_split_pane,908,1080,127,36,4
tmux,tmux/layout.c,layout_close_pane,1084,1097,10,2,1
tmux,tmux/layout.c,layout_spread_cell,1100,1165,59,14,2
tmux,tmux/layout.c,layout_spread_out,1168,1184,15,4,1
tmux,tmux/cmd-pipe-pane.c,cmd_pipe_pane_exec,56,186,101,23,2
tmux,tmux/cmd-pipe-pane.c,cmd_pipe_pane_read_callback,189,203,12,2,2
tmux,tmux/cmd-pipe-pane.c,cmd_pipe_pane_write_callback,206,214,7,2,2
tmux,tmux/cmd-pipe-pane.c,cmd_pipe_pane_error_callback,217,230,11,2,3
tmux,tmux/server-client.c,server_client_window_cmp,67,75,9,3,2
tmux,tmux/server-client.c,server_client_how_many,80,91,11,3,0
tmux,tmux/server-client.c,server_client_overlay_timer,95,98,4,1,3
tmux,tmux/server-client.c,server_client_set_overlay,102,135,29,6,9
tmux,tmux/server-client.c,server_client_clear_overlay,139,162,20,5,1
tmux,tmux/server-client.c,server_client_overlay_range,169,210,34,7,8
tmux,tmux/server-client.c,server_client_check_nested,214,228,13,4,1
tmux,tmux/server-client.c,server_client_set_key_table,232,242,10,3,2
tmux,tmux/server-client.c,server_client_key_table_activity_diff,245,251,6,1,1
tmux,tmux/server-client.c,server_client_get_key_table,255,267,11,3,1
tmux,tmux/server-client.c,server_client_is_default_key_table,271,274,4,1,2
tmux,tmux/server-client.c,server_client_create,278,324,35,3,1
tmux,tmux/server-client.c,server_client_open,328,358,26,11,2
tmux,tmux/server-client.c,server_client_attached_lost,362,391,23,8,1
tmux,tmux/server-client.c,server_client_set_session,395,425,28,8,2
tmux,tmux/server-client.c,server_client_lost,429,506,60,7,1
tmux,tmux/server-client.c,server_client_unref,510,517,7,2,1
tmux,tmux/server-client.c,server_client_free,521,533,10,2,3
